iter	Passed	Remaining
461	782	911
462	784	909
463	785	907
464	787	905
465	788	903
466	789	900
467	790	898
468	791	896
469	792	893
470	793	891
471	794	889
472	796	886
473	797	884
474	798	882
475	799	880
476	801	878
477	803	876
478	804	874
479	805	872
480	806	870
481	807	868
482	808	865
483	810	863
484	811	861
485	812	859
486	813	856
487	814	854
488	816	852
489	817	850
490	818	848
491	819	846
492	820	844
493	822	842
494	823	839
495	824	837
496	825	835
497	826	833
498	827	830
499	828	828
500	829	826
501	830	824
502	832	822
503	834	820
504	835	818
505	836	816
506	837	814
507	839	812
508	840	810
509	841	808
510	842	806
511	843	803
512	844	801
513	845	799
514	847	797
515	848	796
516	850	794
517	851	791
518	852	789
519	853	787
520	854	785
521	855	783
522	856	781
523	857	779
524	858	776
525	859	774
526	860	772
527	862	770
528	863	769
529	865	767
530	866	765
531	868	763
532	869	761
533	870	759
534	871	757
535	872	755
536	874	753
537	875	751
538	876	749
539	877	747
540	878	745
541	880	743
542	881	741
543	882	739
544	883	737
545	884	735
546	885	733
547	886	731
548	888	729
549	889	727
550	890	725
551	891	723
552	892	721
553	893	719
554	895	717
555	896	715
556	897	713
557	898	711
558	899	709
559	900	707
560	902	705
561	903	703
562	904	701
563	905	700
564	906	698
565	907	696
566	908	694
567	910	692
568	911	690
569	912	688
570	913	686
571	914	684
572	916	682
573	917	680
574	918	678
575	919	676
576	920	674
577	921	672
578	922	671
579	924	669
580	925	667
581	927	665
582	928	664
583	929	662
584	931	660
585	932	658
586	933	656
587	935	655
588	936	653
589	937	651
590	939	650
591	941	648
592	943	647
593	945	646
594	946	644
595	947	642
596	948	640
597	949	638
598	950	636
599	951	634
600	953	632
601	954	630
602	955	629
603	957	627
604	958	625
605	960	624
606	961	622
607	962	620
608	963	618
609	964	616
610	966	615
611	967	613
612	968	611
613	969	609
614	970	607
615	972	606
616	973	604
617	975	602
618	976	600
619	977	599
620	978	597
621	980	595
622	981	593
623	982	591
624	983	590
625	984	588
626	985	586
627	986	584
628	988	582
629	989	581
630	990	579
631	992	577
632	993	576
633	996	575
634	998	573
635	999	572
636	1001	570
637	1004	569
638	1005	568
639	1008	567
640	1009	565
641	1011	563
642	1012	562
643	1014	560
644	1015	558
645	1016	557
646	1017	555
647	1019	554
648	1021	552
649	1022	550
650	1024	548
651	1025	547
652	1026	545
653	1029	544
654	1030	542
655	1031	541
656	1032	539
657	1035	538
658	1036	536
659	1038	534
660	1039	533
661	1040	531
662	1042	529
663	1043	528
664	1045	526
665	1046	524
666	1047	523
667	1050	521
668	1052	520
669	1054	519
670	1055	517
671	1057	515
672	1058	514
673	1059	512
674	1060	510
675	1062	509
676	1063	507
677	1065	505
678	1067	504
679	1068	502
680	1069	501
681	1071	499
682	1072	497
683	1073	496
684	1075	494
685	1076	492
686	1078	491
687	1079	489
688	1081	488
689	1083	486
690	1084	485
691	1087	483
692	1088	482
693	1089	480
694	1091	478
695	1092	477
696	1093	475
697	1094	473
698	1096	472
699	1098	470
700	1099	468
701	1100	467
702	1101	465
703	1102	463
704	1103	461
705	1104	460
706	1105	458
707	1106	456
708	1107	454
709	1109	452
710	1110	451
711	1111	449
712	1112	447
713	1114	446
714	1115	444
715	1116	442
716	1117	441
717	1119	439
718	1120	437
719	1121	436
720	1122	434
721	1124	432
722	1125	431
723	1126	429
724	1128	428
725	1130	426
726	1131	424
727	1132	423
728	1133	421
729	1134	419
730	1135	417
731	1137	416
732	1138	414
733	1139	412
734	1140	411
735	1141	409
736	1142	407
737	1144	406
738	1145	404
739	1147	403
740	1148	401
741	1149	399
742	1151	398
743	1152	396
744	1154	395
745	1156	393
746	1157	392
747	1158	390
748	1160	388
749	1161	387
750	1162	385
751	1163	383
752	1164	382
753	1165	380
754	1166	378
755	1167	376
756	1169	375
757	1170	373
758	1171	371
759	1172	370
760	1173	368
761	1175	367
762	1176	365
763	1177	363
764	1179	362
765	1180	360
766	1181	359
767	1183	357
768	1184	355
769	1185	354
770	1186	352
771	1187	350
772	1188	349
773	1189	347
774	1191	345
775	1192	344
776	1193	342
777	1194	340
778	1196	339
779	1197	337
780	1198	336
781	1199	334
782	1200	332
783	1201	331
784	1202	329
785	1204	327
786	1205	326
787	1206	324
788	1207	323
789	1209	321
790	1210	319
791	1211	318
792	1212	316
793	1213	314
794	1214	313
795	1215	311
796	1217	309
797	1218	308
798	1219	306
799	1220	305
800	1221	303
801	1223	301
802	1224	300
803	1225	298
804	1226	297
805	1227	295
806	1228	293
807	1229	292
808	1230	290
809	1232	288
810	1233	287
811	1234	285
812	1235	284
813	1236	282
814	1238	281
815	1239	279
816	1240	277
817	1241	276
818	1242	274
819	1243	273
820	1244	271
821	1246	269
822	1247	268
823	1248	266
824	1249	265
825	1250	263
826	1251	261
827	1253	260
828	1254	258
829	1255	257
830	1257	255
831	1258	254
832	1259	252
833	1260	250
834	1261	249
835	1262	247
836	1263	246
837	1264	244
838	1265	242
839	1266	241
840	1267	239
841	1269	238
842	1270	236
843	1271	235
844	1272	233
845	1273	231
846	1274	230
847	1276	228
848	1277	227
849	1278	225
850	1279	224
851	1280	222
852	1281	220
853	1282	219
854	1284	217
855	1285	216
856	1286	214
857	1287	213
858	1289	211
859	1290	210
860	1291	208
861	1292	206
862	1293	205
863	1294	203
864	1295	202
865	1296	200
866	1297	199
867	1298	197
868	1300	196
869	1301	194
870	1302	192
871	1304	191
872	1305	189
873	1306	188
874	1307	186
875	1308	185
876	1309	183
877	1310	182
878	1311	180
879	1312	179
880	1314	177
881	1315	176
882	1316	174
883	1318	172
884	1319	171
885	1320	169
886	1321	168
887	1322	166
888	1323	165
889	1324	163
890	1325	162
891	1326	160
892	1327	159
893	1329	157
894	1330	156
895	1331	154
896	1333	153
897	1334	151
898	1335	150
899	1336	148
900	1337	146
901	1338	145
902	1339	143
903	1340	142
904	1341	140
905	1342	139
906	1344	137
907	1345	136
908	1346	134
909	1348	133
910	1349	131
911	1350	130
912	1351	128
913	1352	127
914	1353	125
915	1354	124
916	1355	122
917	1356	121
918	1358	119
919	1359	118
920	1360	116
921	1361	115
922	1363	113
923	1364	112
924	1365	110
925	1366	109
926	1367	107
927	1368	106
928	1369	104
929	1370	103
930	1372	101
931	1373	100
932	1374	98
933	1375	97
934	1376	95
935	1377	94
936	1379	92
937	1380	91
938	1381	89
939	1382	88
940	1383	86
941	1384	85
942	1385	83
943	1386	82
944	1387	80
945	1388	79
946	1390	77
947	1391	76
948	1392	74
949	1394	73
950	1395	71
951	1396	70
952	1397	68
953	1398	67
954	1399	65
955	1400	64
956	1402	62
957	1403	61
958	1404	60
959	1405	58
960	1406	57
961	1407	55
962	1408	54
963	1410	52
964	1411	51
965	1412	49
966	1413	48
967	1414	46
968	1415	45
969	1416	43
970	1417	42
971	1418	40
972	1420	39
973	1421	37
974	1422	36
975	1423	35
976	1425	33
977	1426	32
978	1427	30
979	1428	29
980	1429	27
981	1430	26
982	1431	24
983	1432	23
984	1433	21
985	1435	20
986	1436	18
987	1437	17
988	1438	15
989	1439	14
990	1441	13
991	1442	11
992	1443	10
993	1444	8
994	1445	7
995	1446	5
996	1447	4
997	1449	2
998	1450	1
999	1451	0
